ginger	shínsher
representative	reprazéntativ
crystal	krístal
spill	spíl
everything	évritin
ugly	ágli
lane	lein
prominent	prómanent
serve	serv
technical	téknikal
wow	uau
battery	báteri
commonly	kámanli
draft	dráft
freedom	frídom
innovative	ínaveitiv
ally	álai
dangerous	deinsheros
stand	stánd
exhibition	eksabíshan
nowhere	nouuer
leap	líp
psychological	saikaláshikal
sharply	shárpli
terrorist	térerist
behalf	bijáf
dumb	dám
intelligence	intélashans
pillow	pílou
missionary	míshaneri
rich	rích
decline	diklain
stiff	stíf
expression	ikspréshan
validity	valídati
quarterback	kuórterbak
shrimp	shrímp
thigh	tai
big	bíg
conscience	kánshans
economically	ekonómikli
generally	shénerali
inventory	invantóri
apparently	apérantli
champion	chámpian
roll	roul
demonstration	demonstreishan
false	fóls
operate	ápereit
literally	líterali
sing	sín
ego	ígou
tightly	taitli
gifted	gífted
blink	blínk
island	ailand
arrangement	ereinshmant
porch	pórch
chicken	chíken
destination	destaneishan
successful	saksésfal
feel	fíl
hour	auer
absolute	ábsalut
otherwise	áderuaiz
book	búk
rear	rír
controversy	kántraversi
slight	slait
emerging	imershin
toss	tós
grade	greid
potentially	paténshali
convinced	kanvínst
smoke	smouk
employment	emploiment
towel	tauel
grant	gránt
praise	preiz
supermarket	súpermarkit
week	uík
at	át
fishing	físhin
ideological	aidialáshikal
actress	áktres
pale	peil
briefly	brífli
regret	regrét
could	kúd
someday	sámdei
entire	intaier
transmit	tranzmít
guideline	gaidlain
myself	maisélf
presumably	prazúmabli
screen	skrín
suspicious	saspíshas
whom	júm
average	áverish
cluster	kláster
dish	dísh
focus	foukas
impressive	imprésiv
advocate	ádvakat
past	pást
maybe	meibi
bulb	bálb
remind	rimaind
creature	krícher
special	spéshal
establishment	istáblishment
truth	trút
negotiate	negoushieit
knock	nók
processor	próseser
sell	sél
wolf	uúlf
banking	bánkin
combination	kombaneishan
infection	infékshan
membership	mémbership
resemble	rizémbel
currently	kerantli
examine	igzámin
undergo	andergou
none	nán
laugh	láf
proposal	propouzal
seventh	sévent
yeah	iá
compensation	kompenseishan
install	instól
aluminum	alúmanam
philosophy	falásafi
milk	mílk
capture	kápcher
retirement	ritaierment
dawn	dón
statistical	statístikal
expedition	ekspedíshan
update	apdeit
legally	lígali
pull	púl
ship	shíp
Thanksgiving	tanksgívin
belly	béli
conclude	kanklúd
each	ích
galaxy	gálaksi
interested	íntrastad
annual	ániual
modify	mádafai
defender	difénder
eyebrow	aibrau
vary	véri
often	ófen
lightly	laitli
quite	kuait
sigh	sai
thought	tót
birth	bert
educational	eshakeishanal
approach	aprouch
poetry	pouatri
characterize	kérakteraiz
depict	dipíkt
fascinating	fásaneitin
honest	ónest
opt	ópt
lobby	lábi
rather	ráder
contain	kontein
size	saiz
electric	iléktrik
tissue	tísiu
glass	glás
jacket	sháket
wake	ueik
possess	pozés
choose	chúz
develop	divélop
fiction	fíkshan
acceptance	akséptans
outline	autlain
lung	lán
both	bout
recession	riséshan
dialogue	daiolog
accounting	akauntin
oversee	ouversi
mainly	meinli
recruit	rekrút
cope	koup
enemy	énami
traditional	tradíshanal
Greek	grík
movie	múvi
join	shoin
prediction	pridíkshan
scandal	skándal
sure	shúr
wet	uét
attitude	átatud
client	klaiant
dirt	dert
flash	flásh
adjust	ashást
parish	párish
bronze	bránz
related	rileitid
couple	kópel
sophisticated	sofístakeitid
epidemic	epadémik
treaty	tríti
nasty	násti
primarily	praimérali
second	sékond
swimming	suímin
will	uíl
back	bák
coffee	kófi
distinctive	distínktiv
football	fútbol
incorporate	inkórpereit
meaningful	míninfal
repeatedly	ripítidli
speculation	spekialeishan
evaluation	ivaliueishan
twenty	tuénti
profile	proufail
sentence	séntans
workplace	uerkpleis
comment	kóment
door	dór
fragile	fráshal
initial	iníshal
alien	eilian
message	mésash
calendar	kálender
resort	rizórt
dad	dád
exclude	iksklúd
unfold	anfould
health	jélt
nose	nouz
lawyer	lóier
protocol	proutokol
shake	sheik
tent	tént
you	iú
become	bikám
compliance	komplaiens
driving	draivin
frustration	frastreishan
instructional	instrákshanal
among	amón
minor	mainer
revolutionary	revalúshaneri
death	dét
steel	stíl
explicit	iksplísat
user	iúzer
obviously	ábviasli
lens	lénz
purse	pers
shortage	shórtash
theoretical	tierétikal
besides	bisaidz
confirm	konferm
ease	íz
intervention	intervénchan
anyone	éniuen
monument	móniument
century	séncheri
delight	dilait
straw	stró
fade	feid
very	véri
Hispanic	jispánik
rage	reish
silly	síli
throw	trou
blame	bleim
involved	inválvd
constitutional	konstatúshanal
poll	poul
check	chék
rubber	ráber
subsequent	sábsekuant
volunteer	volantír
organism	órganizam
longtime	lóntaim
boat	bout
readily	rédali
continuing	kantíniuin
slam	slám
eligible	élashabel
tomato	tomeitou
gold	gould
safe	seif
suggest	sagshést
warning	uórnin
aspect	áspekt
sun	sán
weakness	uíknes
assist	asíst
civilization	sivalizeishan
difference	díferans
acknowledge	aknálish
package	pákash
mall	mól
breast	brést
refugee	réfiushi
correlation	koreleishan
soil	soil
enhance	enjáns
grow	grou
museum	miuzíam
presence	prézans
scholarship	skólership
surrounding	seraundin
wherever	ueréver
author	óter
closely	klousli
disclose	disklouz
float	flout
implication	implakeishan
adoption	adópshan
particularly	partíkialerli
mass	más
craft	kráft
sovereignty	sóvrenti
triumph	traiamf
nearby	nírbai
privately	praivatli
seek	sík
tablespoon	teibelspun
wire	uaier
balanced	bálanst
collective	kaléktiv
divine	divain
fork	fórk
Indian	índian
agriculture	ágrikalcher
medical	médakal
Cuban	kiúban
spin	spín
everywhere	évriuer
uh	á
night	nait
promise	prámas
service	servas
technician	tekníshan
wrap	ráp
communicate	kamiúnakeit
drag	drág
freely	fríli
input	ínput
almost	ólmoust
personality	persanáliti
candidate	kándadeit
restore	ristór
standard	stánderd
exist	igzíst
university	iunaversati
nuclear	núklier
learn	lern
psychologist	saikálashast
she	shí
test	tést
behave	bijeiv
concede	kansíd
dump	dámp
fundamental	fandaméntal
intelligent	intélashent
anger	ánger
pilot	pailot
mistake	misteik
cash	kásh
decorate	dékereit
still	stíl
extend	iksténd
valley	váli
off	óf
license	laisans
queen	kuín
shrink	shrínk
thin	tín
bike	baik
conscious	kónshas
economics	ekonómiks
generate	shénereit
invest	invést
appeal	apíl
pleased	plízd
championship	chámpianship
rolling	roulin
denial	dinaial
striking	straikin
fame	feim
operating	ópereitin
literary	lítereri
singer	síner
eight	eit
tile	tail
block	blók
array	erei
pork	pórk
chief	chíf
destroy	distroi
feeling	fílin
house	jaus
absolutely	absolútli
ought	ót
lovely	lóvli
boom	búm
reason	rízon
convenience	kanvínians
slightly	slaitli
emission	imíshan
totally	toutali
gradually	gráshuali
pound	paund
bother	bóder
recipe	résapi
cook	kúk
smooth	smúd
empty	émpti
tower	tauer
grape	greip
motivate	moutaveit
pray	prei
satisfaction	satasfákshan
supervisor	súpervaizer
weekend	uíkend
athlete	átlit
diminish	dimínish
fist	físt
ideology	aidiálashi
Palestinian	palistínian
regularly	régialerli
council	kaunsal
somehow	sámjau
entirely	intaierli
transport	transpórt
guilt	gílt
mysterious	mistírias
pretend	priténd
screening	skrínin
sustain	sastein
whose	júz
disk	dísk
fog	fóg
improve	imprúv
aesthetic	estétik
bulk	bálk
reminder	rimainder
credibility	kredabíliti
specialist	spéshalast
estate	isteit
try	trai
negotiation	nigoushieishan
know	nou
proclaim	proukleim
seller	séler
woman	uúman
bankruptcy	bánkrapsi
combine	kámbain
dog	dóg
forty	fórti
inflation	infleishan
airline	érlain
memory	mémeri
reservation	rezerveishan
curriculum	keríkialam
spot	spót
example	igzámpel
undergraduate	andergráshauet
nonetheless	nandalés
laughter	láfter
propose	prapouz
several	sévral
tell	tél
compete	kampít
dress	drés
installation	instaleishan
always	ólueiz
phone	foun
mill	míl
car	kár
retreat	ritrít
statistics	statístiks
expense	ikspéns
helpful	jélpfal
object	óbshekt
legend	léshend
pulse	páls
shirt	shert
that	dát
belong	bilón
conclusion	konklúshan
eager	íger
gallery	gáleri
interesting	íntrastin
annually	ániuali
placement	pleismant
rim	rím
defense	diféns
storm	stórm
vast	vást
oh	ou
quote	kuout
sight	sait
thousand	tauzand
birthday	bertdei
considerably	kansíderabli
educator	éshakeiter
appropriate	aproupriet
point	point
charge	chársh
rough	róf
deploy	diploi
studio	stúdiou
fashion	fáshan
visit	vízat
honestly	ánastli
optimistic	optamístik
container	konteiner
electrical	iléktrikal
title	taitel
glimpse	glímps
successfully	saksésfali
walk	uók
artist	ártast
possession	pozéshan
chop	chóp
developer	divéloper
field	fíld
access	ákses
output	autput
machine	mashín
cigarette	sigerét
diamond	daimond
accuracy	ákierasi
overwhelm	ouveruélm
red	réd
copy	kápi
traditionally	tradíshanali
green	grín
Mr	míster
prefer	prefer
scare	skér
surely	shúrli
whale	ueil
attorney	aterni
cliff	klíf
dirty	derti
flat	flát
imagination	imashaneishan
adjustment	ashástment
park	párk
brother	bróder
relation	rileishan
courage	kerash
sorry	sári
episode	épasoud
tree	trí
hair	jér
nation	neishan
primary	praimeri
secondary	sékanderi
swing	suín
willing	uílin
background	bákgraund
cognitive	kágnitiv
distinguish	distínguish
for	fór
increase	inkrís
meantime	míntaim
replace	ripleis
crop	króp
speech	spích
even	ívin
twice	tuais
hardly	járdli
never	néver
profit	prófat
sentiment	séntament
works	uerks
basement	beismant
commercial	komershal
doorway	dóruei
fragment	frágment
initially	iníshali
alike	alaik
performer	perfórmer
call	kól
resource	rísors
daily	deili
stability	stabíliti
exclusive	iksklúsiv
unfortunately	anfórchanatli
healthy	jélti
not	nót
lay	lei
proud	praud
shall	shál
term	term
young	ión
bed	béd
complicated	kómplakeited
drop	dróp
instructor	instrákter
amount	amaunt
pick	pík
minority	mainórati
carpet	kárpet
debris	debrí
steep	stíp
explode	iksploud
occasion	okeishan
pursue	persú
shortly	shórtli
theory	tíri
best	bést
conflict	kónflikt
easily	ízali
interview	ínterviu
anything	énitin
platform	plátform
mood	múd
ceremony	séramouni
deliver	dilíver
streak	strík
fail	feil
vessel	vésel
historian	jistórian
silver	sílver
thumb	tám
involvement	inválvmant
constraint	konstreint
pollution	polúshan
cheek	chík
deserve	dizerv
subsidy	sábsidi
favorite	feiverit
voter	vouter
horrible	jórabel
abandon	abándon
look	lúk
body	bádi
continuous	kantíniuas
slap	sláp
eliminate	ilímaneit
tomorrow	tomórou
golden	goulden
safely	seifli
suggestion	sagshéschan
warrior	uórier
ass	ás
pour	pór
wealth	uélt
assistance	asístans
claim	kleim
different	díferent
finger	fínger
acquire	akuaier
pad	pád
man	mán
breath	brét
refuse	rafiúz
correspondent	korespóndent
enjoy	enshoi
transaction	tranzákshan
growing	grouin
mushroom	máshrum
judge	shásh
present	prézent
school	skúl
surveillance	serveilans
whether	uéder
authority	atórati
closer	klouser
discount	diskaunt
flood	flód
imply	implai
adult	adált
partly	pártli
massive	másiv
buddy	bádi
religious	rilíshas
troop	trúp
nearly	nírli
king	kín
privilege	prívlash
seem	sím
tackle	tákel
wisdom	uízdom
ball	ból
collector	kolékter
divorce	divórs
form	fórm
indicate	índakeit
ah	á
medication	medakeishan
butt	bát
Republican	ripáblikan
cue	kiú
spine	spain
evidence	évadans
ultimate	áltamat
harvest	járvest
lap	láp
promising	prómasin
technique	tekník
wrist	ríst
communication	komiunakeishan
freeze	fríz
inquiry	inkuairi
personally	persanali
middle-class	mídelklás
candle	kándel
restrict	ristríkt
standing	stándin
existence	egzístans
unknown	announ
heel	jíl
learning	lernin
psychology	saikálashi
shed	shéd
testify	téstafai
behavior	bijeivier
conceive	kansív
funding	fándin
intend	inténd
pin	pín
mix	míks
decrease	dikrís
stimulate	stímialeit
extended	iksténded
hidden	jíden
offender	ofénder
lid	líd
quest	kuést
shrug	shrág
thing	tín
bill	bíl
consciousness	kónshasnes
economist	ikónomist
generation	shenereishan
investigate	invéstageit
appear	apír
pleasure	plésher
Roman	rouman
dense	déns
string	strín
family	fámali
violate	vaialeit
literature	líteracher
eighth	eitt
till	tíl
blond	blónd
isolate	aisaleit
arrest	erést
rush	rásh
destruction	distrákshan
fellow	félou
household	jausjould
absorb	abzórb
our	auer
lover	lóver
boost	búst
reasonable	rízonabel
convention	konvénshan
slip	slíp
emotion	imoushan
touch	tóch
graduate	gráshauet
mad	mád
bottle	bótel
recipient	rasípiant
cookie	kúki
enable	eneibel
town	taun
grasp	grásp
motivation	moutaveishan
prayer	prér
satisfy	sátasfai
supplier	saplaier
weekly	uíkli
athletic	atlétik
dining	dainin
fit	fít
if	íf
actually	ákchuali
palm	pám
manufacturer	maniafákcherer
regulate	régialeit
counsel	kaunsel
someone	sámuan
entitle	entaitel
transportation	transperteishan
guilty	gílti
mystery	místeri
junior	shúnier
screw	skrú
sustainable	sasteinabel
why	uai
avoid	avoid
coal	koul
dismiss	dismís
fold	fould
improved	imprúvd
affair	afér
pastor	páster
bull	búl
remote	rimout
credit	krédat
specialize	spéshalaiz
estimate	éstamat
tube	túb
neighbor	neiber
knowledge	nálash
seminar	sémanar
tall	tól
wonder	uónder
bar	bár
combined	kambaind
doll	dól
forum	fóram
influence	ínfluens
airplane	érplein
pepper	péper
mentally	méntali
cab	káb
reserve	rizerv
spouse	spaus
exceed	iksíd
underlying	anderlaiin
nonprofit	nonprófat
launch	lónch
proposed	prapouzd
severe	savír
temperature	témpracher
competition	kompetíshan
friendly	fréndli
instance	ínstans
photo	foutou
carbohydrate	karboujaidreit
return	ritern
statue	stáchu
expensive	ikspénsiv
hence	jéns
objection	obshékshan
legislation	leshasleishan
pump	pámp
shit	shít
the	de
below	bilou
concrete	kankrít
interfere	interfír
anonymous	anánamas
plain	plein
molecule	málakiul
cease	sís
ring	rín
defensive	difénsiv
story	stóri
hill	jíl
rabbit	rábat
sign	sain
thread	tréd
bishop	bíshop
consideration	konsidereishan
effect	ifékt
approval	aprúval
poke	pouk
charity	chériti
roughly	ráfli
deposit	depózit
fast	fást
visitor	vízater
option	ópshan
locate	loukeit
ratio	reishiou
contemplate	kántampleit
electricity	ilektrísati
global	gloubal
jail	sheil
such	sách
walking	uókin
artistic	artístik
possibility	pasabílati
developing	divélopin
huh	já
accessible	aksésabel
outside	autsaid
circle	serkel
fill	fíl
hunting	jántin
accurate	ákierat
overwhelming	ouveruélmin
maintain	meintein
reduce	radús
socially	soushali
enforce	enfórs
traffic	tráfik
greet	grít
Mrs	mísiz
joke	shouk
preference	préferans
scared	skérd
what	uát
attract	atrákt
climate	klaimat
disability	disabíliti
flavor	fleiver
imagine	imáshan
administer	admínaster
parking	párkin
marker	márker
brown	braun
relationship	rileishanship
course	kórs
sort	sórt
equal	íkual
tremendous	treméndos
prime	praim
secret	síkret
switch	suích
willingness	uílinnes
backyard	bákiard
coin	koin
distract	distrákt
forbid	ferbíd
increased	inkríst
pause	póz
meanwhile	mínuail
burst	berst
replacement	ripleismant
cross	krós
speed	spíd
twin	tuín
hardware	járduer
nevertheless	neverdelés
profound	proufaund
teach	tích
workshop	uerkshop
basic	beisik
dose	dous
initiate	iníshieit
perhaps	perjáps
metaphor	métafor
calm	kám
respect	rispékt
stable	steibel
exclusively	iksklúsivli
unhappy	anjápi
hear	jír
layer	leier
prove	prúv
shallow	shálou
terms	termz
youngster	iónster
bedroom	bédrum
comply	kamplai
drown	draun
fucking	fákin
instrument	ínstrament
analysis	análasas
pickup	píkap
minute	mínat
reward	riuórd
debt	dét
steer	stír
exploit	éksploit
usually	iúshauali
occasional	okeishanal
less	lés
pursuit	persút
shorts	shórts
therapist	térapast
bet	bét
confront	konfrónt
east	íst
gather	gáder
intimate	íntamat
anyway	éniuei
moon	mún
certain	sertan
delivery	dilíveri
stream	strím
failure	feilier
veteran	véteran
historic	jistórik
ongoing	ángouin
line	lain
rail	reil
thus	dás
blank	blánk
Iraqi	iráki
construct	konstrákt
argue	árgiu
pond	pónd
cheer	chír
substance	sábstans
voting	voutin
organizational	organazeishanal
loop	lúp
boil	boil
contract	kóntrakt
elite	ilít
tone	toun
safety	seifti
wash	uásh
assault	asólt
times	taims
jane	shein
drake	dreik
